"alpha","lambda","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.1,0.0147231681077464,0.0297713966068092,0.557092179955064,0.0159507188737326,0.00672120714818276,0.0698810554790057,0.00205504122268978
0.1,0.0161289178995771,0.0299622439281386,0.553156729500646,0.016113953661937,0.0067346023634672,0.0695832432785933,0.00208091892082878
0.1,0.0176688869343569,0.030157151617471,0.549372549270424,0.0162957292582597,0.00673688565208703,0.0688726807320446,0.00209666794381195
0.1,0.0193558902985843,0.0303538420372659,0.545891257278919,0.0164930288464027,0.00674683298365527,0.0682028989872103,0.00211737550953545
0.1,0.0212039666472893,0.0305638799080154,0.542311099900797,0.016710620769492,0.00676799040213249,0.0679272187176402,0.00214050340072863
0.1,0.0232284950288359,0.0307928431900137,0.538484466319551,0.0169483323872358,0.00679165358838215,0.0677474032932297,0.00216093039370925
0.1,0.0254463228640114,0.0310450397973987,0.534268722945231,0.0172099255603819,0.00681618380307628,0.0675776378128595,0.0021832428990203
0.1,0.0278759061444007,0.0313197354603203,0.52969000563675,0.0175030749079124,0.0068407277218325,0.0672500029007714,0.00221202603435176
0.1,0.0305374630167269,0.0316170580618588,0.524809149547469,0.0178177606401023,0.00686401150112854,0.0669906484357502,0.00223619936785913
0.1,0.0334531420312331,0.0319325582142364,0.519877127668301,0.0181416547232525,0.0068838188695648,0.066514202669353,0.00225471042353943
0.1,0.0366472064542121,0.0322531098030132,0.515658037668261,0.0184813748651017,0.0069029206793656,0.0660036023271825,0.00227469122030902
0.1,0.0401462361784658,0.0325807440429012,0.512268279854269,0.0188468771690853,0.00691856890237169,0.0656414042275899,0.00229795211644681
0.109090909090909,4.81784424850852e-06,0.0271138613352123,0.627733855614702,0.0155373237500891,0.00469723632482498,0.0490881281062434,0.000948211127567155
0.109090909090909,5.27784602936508e-06,0.0271138613352123,0.627733855614702,0.0155373237500891,0.00469723632482498,0.0490881281062434,0.000948211127567155
0.109090909090909,5.78176820853189e-06,0.0271138613352123,0.627733855614702,0.0155373237500891,0.00469723632482498,0.0490881281062434,0.000948211127567155
0.109090909090909,6.33380425105193e-06,0.0271138613352123,0.627733855614702,0.0155373237500891,0.00469723632482498,0.0490881281062434,0.000948211127567155
0.109090909090909,6.93854800879851e-06,0.0271138613352123,0.627733855614702,0.0155373237500891,0.00469723632482498,0.0490881281062434,0.000948211127567155
0.109090909090909,7.60103194891222e-06,0.0271138613352123,0.627733855614702,0.0155373237500891,0.00469723632482498,0.0490881281062434,0.000948211127567155
0.109090909090909,8.32676903224149e-06,0.0271138613352123,0.627733855614702,0.0155373237500891,0.00469723632482498,0.0490881281062434,0.000948211127567155
