"alpha","lambda","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.1,0.000159433563965907,0.0198421638554942,0.800055877428431,0.0111119325898702,0.00550923084924271,0.062156552237522,0.00140095828575956
0.1,0.000174656082496956,0.0198379819048158,0.800132564488144,0.0111075728490717,0.00551019512581243,0.0621976289074787,0.00140425936068622
0.1,0.000191332028177621,0.0198311511616632,0.800257752973263,0.0111004903279418,0.00551083224436854,0.0621995314449155,0.00140742107366734
0.1,0.000209600172425715,0.0198238207898269,0.800396300504639,0.0110927401166742,0.00551389536729128,0.0622408827882895,0.00141240071290584
0.1,0.000229612536381548,0.0198203742923497,0.800455778026758,0.0110875517514457,0.00551917550174615,0.0623407571229092,0.00141776948371414
0.1,0.000251535655974965,0.0198149021945377,0.800556993237984,0.0110815927314819,0.00552109451035405,0.0623633386711578,0.00142101434327131
0.1,0.000275551967779405,0.0198088963450422,0.800665215491994,0.0110761965198977,0.00552203967547037,0.0623656993634706,0.00142367806904019
0.1,0.000301861327185595,0.0198039333898344,0.800756264647059,0.0110719600783081,0.00552285065845673,0.0623805922907376,0.00142678274018304
0.1,0.000330682671528573,0.0197978437313841,0.800867817051889,0.0110668450270173,0.0055229283230679,0.0623892172024386,0.00143011851584056
0.1,0.000362255842008014,0.0197908313738208,0.800994295475309,0.0110611556119211,0.00552561822885818,0.0624439005494464,0.00143589379876553
0.1,0.000396843579563243,0.0197827436298953,0.801140083696331,0.0110535421423285,0.00552867410634415,0.0624973090356329,0.0014415773934325
0.1,0.000434733711311918,0.0197741250021071,0.801298808680816,0.0110459784368445,0.00553100671494406,0.0625340823806161,0.00144686229640228
0.1,0.000476241545747159,0.019765122437598,0.801463609997216,0.0110384382659191,0.00553321075146901,0.0625691733192384,0.00145153081277116
0.1,0.000521712496625115,0.0197552233665036,0.801643807281674,0.0110298909496419,0.00553416553256228,0.0625819996547708,0.00145554042533765
0.1,0.00057152495737807,0.0197456313064323,0.801823804857409,0.0110209587469409,0.00553289567682823,0.0625410581227549,0.00145860483818405
0.1,0.000626093449972922,0.0197377337330382,0.801979634757638,0.0110138854931988,0.00553174821883705,0.0625001239594968,0.0014618226607706
0.1,0.000685872074418769,0.0197298388717445,0.802137139954973,0.0110071534321379,0.00553043115875785,0.062449686831813,0.00146413416156255
0.1,0.000751358287629188,0.0197236909919309,0.802258495708907,0.0110023466473703,0.00553065879978745,0.0624105321931057,0.00146682431763473
0.1,0.000823097043085586,0.0197153972038958,0.802414693573562,0.0109988938849681,0.00552817252193868,0.0623496899620497,0.001469305333981
0.1,0.000901685325750465,0.0197054268145075,0.802607760638263,0.0109954762758618,0.00552437014074893,0.0622837636156621,0.00147201222648301
0.1,0.000987777119968564,0.0196949885110734,0.802817538920472,0.0109923606397007,0.00552016354954917,0.0622298761636435,0.00147558816018788
0.1,0.00108208885169704,0.019684883114737,0.803025025512719,0.0109894932026458,0.00551475850185263,0.0621635466668429,0.00147722853972879
0.1,0.001185405350353,0.0196748726142649,0.803244326747042,0.0109862194495401,0.0055099650003027,0.0621034157134509,0.00147785890626031
0.1,0.00129858637989087,0.0196657925262182,0.803456038154647,0.0109823569929139,0.00550586714542315,0.0620499700526438,0.00147939942026019
0.1,0.00142257379345884,0.0196587470678226,0.803640654090099,0.010979609084148,0.00550150629110003,0.0620027579135669,0.00148272321400352
