"sigma","C","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.00582805977053455,268435456,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,536870912,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1073741824,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,2147483648,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,4294967296,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,8589934592,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,17179869184,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,34359738368,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,68719476736,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,137438953472,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,274877906944,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,549755813888,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1099511627776,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,2199023255552,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,4398046511104,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,8796093022208,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,17592186044416,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,35184372088832,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,70368744177664,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,140737488355328,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,281474976710656,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,562949953421312,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1125899906842624,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,2251799813685248,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,4503599627370496,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,9007199254740992,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,18014398509481984,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,36028797018963968,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,72057594037927936,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,144115188075855872,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,288230376151711744,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,576460752303423488,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1152921504606846976,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,2305843009213693952,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,4611686018427387904,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,9223372036854775808,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,18446744073709551616,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,36893488147419103232,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,73786976294838206464,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1.47573952589676e+20,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,2.95147905179353e+20,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,5.90295810358706e+20,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1.18059162071741e+21,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,2.36118324143482e+21,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,4.72236648286965e+21,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,9.44473296573929e+21,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
